"","participant","expName","Stim","Arousal_rate.response","Valence_rate.response","Familiarity_rate.response","Pleasantness_rate.response"
"212",85,"V6","Aircraft Cabin Full.wav",1,2.984375,2.9794921875,3.94140625
"213",85,"V6","Fireplace Full.wav",1.978515625,3.9755859375,3.4775390625,4.009765625
"214",87,"V2","Tritsch-Tratsch (Spot).wav",4,6.59765625,6.40234375,5.015625
"215",87,"V2","Piano Sonata No. 11 (Spot).wav",3.970703125,4.390625,6.6123046875,5.4990234375
"216",87,"V2","Radetzky March (Spot).wav",4.1171875,5.9970703125,5.4990234375,4.9912109375
"217",88,"V3","Moonlight Sonata (Spot).wav",4.0244140625,1.98828124999999,6.91015625,4.9765625
"218",88,"V3","Four Seasons Summer (Spot).wav",5.97265625,3.0185546875,7,5.9873046875
"219",88,"V3","Night on Bare Mountain (Spot).wav",3.970703125,3.9462890625,6.9736328125,5.953125
"220",89,"V4","Gypsy Baron (Spot).wav",6.470703125,5.97265625,5.4697265625,4.9912109375
"221",89,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",6.998046875,6.0361328125,6.958984375,7
"222",89,"V4","Unt Donner Unt Blitz (Spot).wav",6.4658203125,5.5478515625,6.4560546875,6.4365234375
"223",90,"V5","String Quartet No. 8 (Spot).wav",5.962890625,4.99609375,1.9833984375,1.939453125
"224",90,"V5","L’Incendie (Spot).wav",5.953125,5.0302734375,1.978515625,2.96484375
"225",90,"V5","Chaconne in G (Spot).wav",5.943359375,2.115234375,2.0908203125,5.0400390625
"226",91,"V6","Healing Water Full.wav",4.8984375,7,5.0546875,5.0205078125
"227",91,"V6","Fireplace Full.wav",2.955078125,2.0419921875,6.001953125,5.0400390625
"228",91,"V6","Aircraft Cabin Full.wav",3.990234375,1.880859375,5.103515625,1.978515625
"229",93,"V2","Tritsch-Tratsch (Spot).wav",5.884765625,6.4169921875,5.4306640625,7
"230",93,"V2","Piano Sonata No. 11 (Spot).wav",7,5.494140625,7,7
"231",93,"V2","Radetzky March (Spot).wav",5.9580078125,6.3876953125,7,7
"232",94,"V3","Moonlight Sonata (Spot).wav",5.015625,2.9404296875,6.05078125,4.99609375
"233",94,"V3","Four Seasons Summer (Spot).wav",5.9775390625,2.7353515625,6.8369140625,4.419921875
"234",94,"V3","Night on Bare Mountain (Spot).wav",4.91796875,2.935546875,6.4072265625,4.7080078125
"235",95,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",5.9921875,5.3525390625,3.5263671875,4.5078125
"236",95,"V4","Gypsy Baron (Spot).wav",5.435546875,6.4560546875,5.4208984375,5.4501953125
"237",95,"V4","Unt Donner Unt Blitz (Spot).wav",4.44921875,4.41015625,2.5302734375,3.5849609375
"238",96,"V5","L’Incendie (Spot).wav",4.927734375,2.9892578125,6.9296875,5.0498046875
"239",96,"V5","String Quartet No. 8 (Spot).wav",5.97265625,5.0302734375,6.9296875,6.98828125
"240",96,"V5","Chaconne in G (Spot).wav",3.052734375,1.94921875,5.07421875,4.01953125
"241",97,"V6","Aircraft Cabin Full.wav",2.9794921875,2.5009765625,5.0107421875,2.5791015625
"242",97,"V6","Fireplace Full.wav",5.484375,3.53125,6.509765625,5.640625
"243",97,"V6","Healing Water Full.wav",6.5048828125,7,5.5234375,5.494140625
"244",99,"V2","Piano Sonata No. 11 (Spot).wav",5.5966796875,5.9677734375,6.998046875,6.9931640625
"245",99,"V2","Radetzky March (Spot).wav",4.986328125,5.9970703125,4.986328125,4.99609375
"246",99,"V2","Tritsch-Tratsch (Spot).wav",7,6.998046875,3.9853515625,3.9853515625
"247",100,"V3","Four Seasons Summer (Spot).wav",5.044921875,6.01171875,6.0263671875,5.9921875
"248",100,"V3","Moonlight Sonata (Spot).wav",5.9677734375,5.9970703125,7,7
"249",100,"V3","Night on Bare Mountain (Spot).wav",4.9814453125,6.98828125,6.5244140625,6.9638671875
"250",101,"V4","Unt Donner Unt Blitz (Spot).wav",4.6201171875,6.021484375,4,6.48046875
"251",101,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",4.6298828125,5.0107421875,5.9921875,6.7734375
"252",101,"V4","Gypsy Baron (Spot).wav",5.0595703125,5.513671875,3.8291015625,5.4453125
"253",102,"V5","Chaconne in G (Spot).wav",5.21875,2.72767857142857,2.92857142857142,3.4375
"254",102,"V5","String Quartet No. 8 (Spot).wav",7,1.70089285714285,1.70982142857142,2.39732142857142
